año,demanda total
1992,54054
1993,58448.2
1994,62475.713
1995,64687.052
1996,68750.774
1997,73773.93
1998,76489.668
1999,75876.592
2000,83750.49677
2001,86007.43962
2002,81334.08396
2003,86442.24025
2004,93286.23311
2005,98159.96428
2006,104627.2739
2007,108482.0192
2008,112382.3418
2009,110889.4457
2010,115735.2163
2011,121233.8495
2012,125727.0951
2013,129820.4431
2014,131203.4751
2015,136870.4829
2016,138069.57
2017,137198.5819
2018,137825.3707
2019,133992.9165
2020,135380.52
2021,142615.9637
2022,145056.5913
2023,147641.4274
